,Category,Class,Country,Unit,Value
40,Number of vulnerable species,Mammals,Denmark,Number,10.0
41,Total number of threatened species,Mammals,Denmark,Number,11.0
42,Number of endangered indigenous species,Mammals,Denmark,Number,1.0
43,Number of vulnerable indigenous species,Mammals,Denmark,Number,10.0
44,Total number of known species,Mammals,Finland,Number,75.0
45,Total number of indigenous known species,Mammals,Finland,Number,67.0
46,Number of endangered species,Mammals,Finland,Number,4.0
47,Number of critically endangered species,Mammals,Finland,Number,1.0
48,Number of vulnerable species,Mammals,Finland,Number,2.0
49,Total number of threatened species,Mammals,Finland,Number,7.0
50,Number of endangered indigenous species,Mammals,Finland,Number,4.0
51,Number of critically endangered indigenous species,Mammals,Finland,Number,1.0
52,Number of vulnerable indigenous species,Mammals,Finland,Number,2.0
53,Total number of known species,Mammals,France,Number,125.0
54,Number of endangered species,Mammals,France,Number,4.0
55,Number of critically endangered species,Mammals,France,Number,3.0
56,Number of vulnerable species,Mammals,France,Number,10.0
57,Total number of threatened species,Mammals,France,Number,17.0
58,Total number of known species,Mammals,Germany,Number,93.0
59,Total number of indigenous known species,Mammals,Germany,Number,85.0
60,Number of endangered species,Mammals,Germany,Number,9.0
61,Number of critically endangered species,Mammals,Germany,Number,8.0
62,Number of vulnerable species,Mammals,Germany,Number,15.0
63,Total number of threatened species,Mammals,Germany,Number,32.0
64,Number of endangered indigenous species,Mammals,Germany,Number,9.0
65,Number of critically endangered indigenous species,Mammals,Germany,Number,8.0
66,Number of vulnerable indigenous species,Mammals,Germany,Number,15.0
67,Total number of known species,Mammals,Greece,Number,115.0
68,Total number of indigenous known species,Mammals,Greece,Number,113.0
69,Number of endangered species,Mammals,Greece,Number,13.0
70,Number of critically endangered species,Mammals,Greece,Number,3.0
71,Number of vulnerable species,Mammals,Greece,Number,13.0
72,Total number of threatened species,Mammals,Greece,Number,29.0
73,Number of endangered indigenous species,Mammals,Greece,Number,13.0
74,Number of critically endangered indigenous species,Mammals,Greece,Number,3.0
75,Number of vulnerable indigenous species,Mammals,Greece,Number,13.0
76,Total number of known species,Mammals,Hungary,Number,87.0
77,Total number of indigenous known species,Mammals,Hungary,Number,76.0
78,Number of endangered species,Mammals,Hungary,Number,3.0
79,Number of critically endangered species,Mammals,Hungary,Number,5.0
80,Number of vulnerable species,Mammals,Hungary,Number,6.0
81,Total number of threatened species,Mammals,Hungary,Number,14.0
82,Number of endangered indigenous species,Mammals,Hungary,Number,3.0
83,Number of critically endangered indigenous species,Mammals,Hungary,Number,5.0
84,Number of vulnerable indigenous species,Mammals,Hungary,Number,6.0
85,Total number of known species,Mammals,Iceland,Number,4.0
86,Total number of known species,Mammals,Ireland,Number,57.0
87,Total number of indigenous known species,Mammals,Ireland,Number,46.0
88,Number of vulnerable species,Mammals,Ireland,Number,1.0
89,Total number of threatened species,Mammals,Ireland,Number,1.0
90,Total number of known species,Mammals,Italy,Number,126.0
91,Number of endangered species,Mammals,Italy,Number,8.0
92,Number of critically endangered species,Mammals,Italy,Number,2.0
93,Number of vulnerable species,Mammals,Italy,Number,13.0
94,Total number of threatened species,Mammals,Italy,Number,23.0
95,Total number of known species,Mammals,Japan,Number,160.0
96,Number of endangered species,Mammals,Japan,Number,12.0
97,Number of critically endangered species,Mammals,Japan,Number,12.0
98,Number of vulnerable species,Mammals,Japan,Number,9.0
99,Total number of threatened species,Mammals,Japan,Number,33.0
100,Total number of known species,Mammals,Korea,Number,125.0
101,Number of endangered species,Mammals,Korea,Number,4.0
102,Number of critically endangered species,Mammals,Korea,Number,1.0
103,Number of vulnerable species,Mammals,Korea,Number,9.0
104,Total number of threatened species,Mammals,Korea,Number,14.0
105,Total number of known species,Mammals,Mexico,Number,564.0
106,Total number of indigenous known species,Mammals,Mexico,Number,162.0
107,Number of endangered species,Mammals,Mexico,Number,50.0
108,Number of critically endangered species,Mammals,Mexico,Number,11.0
109,Number of vulnerable species,Mammals,Mexico,Number,90.0
110,Total number of threatened species,Mammals,Mexico,Number,151.0
111,Number of endangered indigenous species,Mammals,Mexico,Number,24.0
112,Number of critically endangered indigenous species,Mammals,Mexico,Number,8.0
113,Number of vulnerable indigenous species,Mammals,Mexico,Number,52.0
114,Total number of known species,Mammals,Netherlands,Number,53.0
115,Number of endangered species,Mammals,Netherlands,Number,3.0
116,Number of critically endangered species,Mammals,Netherlands,Number,2.0
117,Number of vulnerable species,Mammals,Netherlands,Number,6.0
118,Total number of threatened species,Mammals,Netherlands,Number,11.0
119,Total number of known species,Mammals,New Zealand,Number,65.0
120,Total number of indigenous known species,Mammals,New Zealand,Number,37.0
121,Number of endangered indigenous species,Mammals,New Zealand,Number,2.0
122,Number of critically endangered indigenous species,Mammals,New Zealand,Number,6.0
123,Number of vulnerable indigenous species,Mammals,New Zealand,Number,2.0
124,Total number of known species,Mammals,Norway,Number,89.0
125,Total number of indigenous known species,Mammals,Norway,Number,73.0
126,Number of endangered species,Mammals,Norway,Number,5.0
127,Number of critically endangered species,Mammals,Norway,Number,5.0
128,Number of vulnerable species,Mammals,Norway,Number,7.0
129,Total number of threatened species,Mammals,Norway,Number,17.0
130,Number of endangered indigenous species,Mammals,Norway,Number,5.0
131,Number of critically endangered indigenous species,Mammals,Norway,Number,5.0
132,Number of vulnerable indigenous species,Mammals,Norway,Number,7.0
133,Total number of known species,Mammals,Poland,Number,112.0
134,Total number of indigenous known species,Mammals,Poland,Number,100.0
135,Number of endangered species,Mammals,Poland,Number,10.0
136,Number of critically endangered species,Mammals,Poland,Number,2.0
137,Number of vulnerable species,Mammals,Poland,Number,1.0
138,Total number of threatened species,Mammals,Poland,Number,13.0
139,Number of endangered indigenous species,Mammals,Poland,Number,10.0
140,Number of critically endangered indigenous species,Mammals,Poland,Number,2.0
141,Number of vulnerable indigenous species,Mammals,Poland,Number,1.0
142,Total number of known species,Mammals,Portugal,Number,158.0
143,Total number of indigenous known species,Mammals,Portugal,Number,108.0
144,Number of endangered species,Mammals,Portugal,Number,7.0
145,Number of critically endangered species,Mammals,Portugal,Number,11.0
146,Number of vulnerable species,Mammals,Portugal,Number,13.0
147,Total number of threatened species,Mammals,Portugal,Number,31.0
148,Number of endangered indigenous species,Mammals,Portugal,Number,7.0
149,Number of critically endangered indigenous species,Mammals,Portugal,Number,11.0
150,Number of vulnerable indigenous species,Mammals,Portugal,Number,13.0
151,Total number of known species,Mammals,Slovak Republic,Number,90.0
152,Total number of indigenous known species,Mammals,Slovak Republic,Number,85.0
153,Number of endangered species,Mammals,Slovak Republic,Number,6.0
154,Number of critically endangered species,Mammals,Slovak Republic,Number,2.0
155,Number of vulnerable species,Mammals,Slovak Republic,Number,12.0
156,Total number of threatened species,Mammals,Slovak Republic,Number,20.0
157,Number of endangered indigenous species,Mammals,Slovak Republic,Number,6.0
158,Number of critically endangered indigenous species,Mammals,Slovak Republic,Number,2.0
159,Number of vulnerable indigenous species,Mammals,Slovak Republic,Number,12.0
160,Total number of known species,Mammals,Spain,Number,157.0
161,Number of endangered species,Mammals,Spain,Number,6.0
162,Number of critically endangered species,Mammals,Spain,Number,2.0
163,Number of vulnerable species,Mammals,Spain,Number,17.0
164,Total number of threatened species,Mammals,Spain,Number,25.0
165,Number of endangered indigenous species,Mammals,Spain,Number,6.0
166,Number of critically endangered indigenous species,Mammals,Spain,Number,2.0
167,Number of vulnerable indigenous species,Mammals,Spain,Number,17.0
168,Total number of known species,Mammals,Sweden,Number,65.0
169,Total number of indigenous known species,Mammals,Sweden,Number,65.0
170,Number of endangered species,Mammals,Sweden,Number,3.0
171,Number of critically endangered species,Mammals,Sweden,Number,5.0
172,Number of vulnerable species,Mammals,Sweden,Number,6.0
173,Total number of threatened species,Mammals,Sweden,Number,14.0
174,Number of endangered indigenous species,Mammals,Sweden,Number,3.0
175,Number of critically endangered indigenous species,Mammals,Sweden,Number,5.0
176,Number of vulnerable indigenous species,Mammals,Sweden,Number,6.0
177,Total number of known species,Mammals,Switzerland,Number,93.0
178,Total number of indigenous known species,Mammals,Switzerland,Number,81.0
179,Number of endangered species,Mammals,Switzerland,Number,13.0
180,Number of critically endangered species,Mammals,Switzerland,Number,5.0
181,Number of vulnerable species,Mammals,Switzerland,Number,16.0
182,Total number of threatened species,Mammals,Switzerland,Number,34.0
183,Number of endangered indigenous species,Mammals,Switzerland,Number,13.0
184,Number of critically endangered indigenous species,Mammals,Switzerland,Number,5.0
185,Number of vulnerable indigenous species,Mammals,Switzerland,Number,16.0
186,Total number of known species,Mammals,Turkey,Number,161.0
187,Total number of threatened species,Mammals,Turkey,Number,23.0
188,Total number of known species,Mammals,United Kingdom,Number,99.0
189,Number of endangered species,Mammals,United Kingdom,Number,4.0
190,Number of critically endangered species,Mammals,United Kingdom,Number,2.0
191,Number of vulnerable species,Mammals,United Kingdom,Number,12.0
192,Total number of threatened species,Mammals,United Kingdom,Number,18.0
193,Number of endangered indigenous species,Mammals,United Kingdom,Number,4.0
194,Number of critically endangered indigenous species,Mammals,United Kingdom,Number,2.0
195,Number of vulnerable indigenous species,Mammals,United Kingdom,Number,12.0
196,Total number of known species,Mammals,United States,Number,453.0
197,Total number of indigenous known species,Mammals,United States,Number,428.0
198,Number of endangered species,Mammals,United States,Number,16.0
199,Number of critically endangered species,Mammals,United States,Number,13.0
200,Number of vulnerable species,Mammals,United States,Number,49.0
201,Total number of threatened species,Mammals,United States,Number,78.0
202,Number of endangered indigenous species,Mammals,United States,Number,16.0
203,Number of critically endangered indigenous species,Mammals,United States,Number,13.0
204,Number of vulnerable indigenous species,Mammals,United States,Number,47.0
205,Total number of known species,Mammals,Chile,Number,185.0
206,Total number of indigenous known species,Mammals,Chile,Number,162.0
207,Number of endangered species,Mammals,Chile,Number,13.0
208,Number of vulnerable species,Mammals,Chile,Number,20.0
209,Total number of threatened species,Mammals,Chile,Number,36.0
210,Number of endangered indigenous species,Mammals,Chile,Number,13.0
211,Number of vulnerable indigenous species,Mammals,Chile,Number,20.0
212,Total number of known species,Mammals,Estonia,Number,66.0
213,Total number of indigenous known species,Mammals,Estonia,Number,60.0
214,Number of endangered species,Mammals,Estonia,Number,1.0
215,Total number of threatened species,Mammals,Estonia,Number,3.0
216,Number of endangered indigenous species,Mammals,Estonia,Number,1.0
217,Total number of indigenous known species,Mammals,Israel,Number,105.0
218,Number of endangered indigenous species,Mammals,Israel,Number,27.0
219,Number of critically endangered indigenous species,Mammals,Israel,Number,15.0
220,Number of vulnerable indigenous species,Mammals,Israel,Number,19.0
221,Total number of threatened species,Mammals,Russia,Number,34.0
222,Total number of known species,Mammals,Slovenia,Number,89.0
223,Number of endangered species,Mammals,Slovenia,Number,19.0
224,Number of vulnerable species,Mammals,Slovenia,Number,15.0
225,Total number of threatened species,Mammals,Slovenia,Number,34.0
226,Number of endangered indigenous species,Mammals,Slovenia,Number,19.0
227,Number of vulnerable indigenous species,Mammals,Slovenia,Number,15.0
228,Total number of known species,Birds,Australia,Number,784.0
229,Total number of indigenous known species,Birds,Australia,Number,767.0
230,Number of endangered species,Birds,Australia,Number,54.0
231,Number of critically endangered species,Birds,Australia,Number,17.0
232,Number of vulnerable species,Birds,Australia,Number,63.0
233,Total number of threatened species,Birds,Australia,Number,134.0
234,Number of endangered indigenous species,Birds,Australia,Number,54.0
235,Number of critically endangered indigenous species,Birds,Australia,Number,17.0
236,Number of vulnerable indigenous species,Birds,Australia,Number,63.0
237,Total number of known species,Birds,Austria,Number,213.0
238,Total number of indigenous known species,Birds,Austria,Number,213.0
239,Number of endangered species,Birds,Austria,Number,24.0
240,Number of critically endangered species,Birds,Austria,Number,14.0
241,Number of vulnerable species,Birds,Austria,Number,28.0
242,Total number of threatened species,Birds,Austria,Number,66.0
243,Number of endangered indigenous species,Birds,Austria,Number,24.0
244,Number of critically endangered indigenous species,Birds,Austria,Number,14.0
245,Number of vulnerable indigenous species,Birds,Austria,Number,28.0
246,Total number of known species,Birds,Belgium,Number,198.0
247,Total number of indigenous known species,Birds,Belgium,Number,178.0
248,Number of endangered species,Birds,Belgium,Number,15.0
249,Number of critically endangered species,Birds,Belgium,Number,20.0
250,Number of vulnerable species,Birds,Belgium,Number,20.0
251,Total number of threatened species,Birds,Belgium,Number,55.0
252,Number of endangered indigenous species,Birds,Belgium,Number,15.0
253,Number of critically endangered indigenous species,Birds,Belgium,Number,20.0
254,Number of vulnerable indigenous species,Birds,Belgium,Number,20.0
255,Total number of known species,Birds,Canada,Number,674.0
256,Total number of indigenous known species,Birds,Canada,Number,664.0
257,Number of endangered species,Birds,Canada,Number,14.0
258,Number of vulnerable species,Birds,Canada,Number,48.0
259,Total number of threatened species,Birds,Canada,Number,88.0
260,Number of endangered indigenous species,Birds,Canada,Number,14.0
261,Number of vulnerable indigenous species,Birds,Canada,Number,48.0
262,Total number of known species,Birds,Czech Republic,Number,223.0
263,Total number of indigenous known species,Birds,Czech Republic,Number,223.0
264,Number of endangered species,Birds,Czech Republic,Number,27.0
265,Number of critically endangered species,Birds,Czech Republic,Number,34.0
266,Number of vulnerable species,Birds,Czech Republic,Number,36.0
267,Total number of threatened species,Birds,Czech Republic,Number,97.0
268,Total number of known species,Birds,Denmark,Number,209.0
269,Total number of indigenous known species,Birds,Denmark,Number,209.0
270,Number of endangered species,Birds,Denmark,Number,13.0
271,Number of critically endangered species,Birds,Denmark,Number,8.0
272,Number of vulnerable species,Birds,Denmark,Number,13.0
273,Total number of threatened species,Birds,Denmark,Number,34.0
274,Number of endangered indigenous species,Birds,Denmark,Number,13.0
275,Number of critically endangered indigenous species,Birds,Denmark,Number,8.0
276,Number of vulnerable indigenous species,Birds,Denmark,Number,13.0
277,Total number of known species,Birds,Finland,Number,248.0
278,Total number of indigenous known species,Birds,Finland,Number,245.0
279,Number of endangered species,Birds,Finland,Number,36.0
280,Number of critically endangered species,Birds,Finland,Number,13.0
281,Number of vulnerable species,Birds,Finland,Number,38.0
282,Total number of threatened species,Birds,Finland,Number,87.0
283,Number of endangered indigenous species,Birds,Finland,Number,36.0
284,Number of critically endangered indigenous species,Birds,Finland,Number,13.0
285,Number of vulnerable indigenous species,Birds,Finland,Number,38.0
286,Total number of known species,Birds,France,Number,391.0
287,Total number of indigenous known species,Birds,France,Number,284.0
288,Number of endangered species,Birds,France,Number,33.0
289,Number of critically endangered species,Birds,France,Number,16.0
290,Number of vulnerable species,Birds,France,Number,58.0
291,Total number of threatened species,Birds,France,Number,107.0
292,Number of endangered indigenous species,Birds,France,Number,30.0
293,Number of vulnerable indigenous species,Birds,France,Number,46.0
294,Total number of known species,Birds,Germany,Number,264.0
295,Total number of indigenous known species,Birds,Germany,Number,244.0
296,Number of endangered species,Birds,Germany,Number,24.0
297,Number of critically endangered species,Birds,Germany,Number,30.0
298,Number of vulnerable species,Birds,Germany,Number,40.0
299,Total number of threatened species,Birds,Germany,Number,94.0
300,Number of endangered indigenous species,Birds,Germany,Number,24.0
301,Number of critically endangered indigenous species,Birds,Germany,Number,30.0
302,Number of vulnerable indigenous species,Birds,Germany,Number,40.0
303,Total number of known species,Birds,Greece,Number,440.0
304,Total number of indigenous known species,Birds,Greece,Number,351.0
305,Number of endangered species,Birds,Greece,Number,17.0
306,Number of critically endangered species,Birds,Greece,Number,14.0
307,Number of vulnerable species,Birds,Greece,Number,31.0
308,Total number of threatened species,Birds,Greece,Number,62.0
309,Number of endangered indigenous species,Birds,Greece,Number,17.0
310,Number of critically endangered indigenous species,Birds,Greece,Number,14.0
311,Number of vulnerable indigenous species,Birds,Greece,Number,31.0
312,Total number of known species,Birds,Hungary,Number,435.0
313,Total number of indigenous known species,Birds,Hungary,Number,420.0
314,Number of endangered species,Birds,Hungary,Number,23.0
315,Number of critically endangered species,Birds,Hungary,Number,20.0
316,Number of vulnerable species,Birds,Hungary,Number,35.0
317,Total number of threatened species,Birds,Hungary,Number,78.0
318,Number of endangered indigenous species,Birds,Hungary,Number,23.0
319,Number of critically endangered indigenous species,Birds,Hungary,Number,20.0
320,Number of vulnerable indigenous species,Birds,Hungary,Number,35.0
321,Total number of known species,Birds,Iceland,Number,75.0
322,Number of endangered species,Birds,Iceland,Number,11.0
323,Number of critically endangered species,Birds,Iceland,Number,6.0
324,Number of vulnerable species,Birds,Iceland,Number,16.0
325,Total number of threatened species,Birds,Iceland,Number,33.0
326,Total number of known species,Birds,Ireland,Number,478.0
327,Total number of indigenous known species,Birds,Ireland,Number,478.0
328,Number of endangered species,Birds,Ireland,Number,37.0
329,Number of vulnerable species,Birds,Ireland,Number,90.0
330,Total number of threatened species,Birds,Ireland,Number,127.0
331,Total number of known species,Birds,Italy,Number,278.0
332,Number of endangered species,Birds,Italy,Number,36.0
333,Number of critically endangered species,Birds,Italy,Number,10.0
334,Number of vulnerable species,Birds,Italy,Number,21.0
335,Total number of threatened species,Birds,Italy,Number,67.0
336,Total number of known species,Birds,Japan,Number,700.0
337,Number of endangered species,Birds,Japan,Number,31.0
338,Number of critically endangered species,Birds,Japan,Number,24.0
339,Number of vulnerable species,Birds,Japan,Number,43.0
340,Total number of threatened species,Birds,Japan,Number,98.0
341,Total number of known species,Birds,Korea,Number,527.0
342,Number of endangered species,Birds,Korea,Number,18.0
343,Number of critically endangered species,Birds,Korea,Number,1.0
344,Number of vulnerable species,Birds,Korea,Number,36.0
345,Total number of threatened species,Birds,Korea,Number,55.0
346,Total number of known species,Birds,Luxembourg,Number,131.0
347,Number of endangered species,Birds,Luxembourg,Number,8.0
348,Number of critically endangered species,Birds,Luxembourg,Number,7.0
349,Number of vulnerable species,Birds,Luxembourg,Number,11.0
350,Total number of threatened species,Birds,Luxembourg,Number,26.0
351,Total number of known species,Birds,Mexico,Number,1117.0
352,Total number of indigenous known species,Birds,Mexico,Number,192.0
353,Number of endangered species,Birds,Mexico,Number,90.0
354,Number of critically endangered species,Birds,Mexico,Number,19.0
355,Number of vulnerable species,Birds,Mexico,Number,124.0
356,Total number of threatened species,Birds,Mexico,Number,233.0
357,Number of endangered indigenous species,Birds,Mexico,Number,40.0
358,Number of critically endangered indigenous species,Birds,Mexico,Number,13.0
359,Number of vulnerable indigenous species,Birds,Mexico,Number,29.0
360,Total number of known species,Birds,Netherlands,Number,168.0
361,Number of endangered species,Birds,Netherlands,Number,10.0
362,Number of critically endangered species,Birds,Netherlands,Number,10.0
363,Number of vulnerable species,Birds,Netherlands,Number,21.0
364,Total number of threatened species,Birds,Netherlands,Number,41.0
365,Total number of known species,Birds,New Zealand,Number,254.0
366,Total number of indigenous known species,Birds,New Zealand,Number,217.0
367,Number of endangered indigenous species,Birds,New Zealand,Number,13.0
368,Number of critically endangered indigenous species,Birds,New Zealand,Number,20.0
369,Number of vulnerable indigenous species,Birds,New Zealand,Number,32.0
370,Total number of known species,Birds,Norway,Number,264.0
371,Total number of indigenous known species,Birds,Norway,Number,232.0
372,Number of endangered species,Birds,Norway,Number,15.0
373,Number of critically endangered species,Birds,Norway,Number,6.0
374,Number of vulnerable species,Birds,Norway,Number,25.0
375,Total number of threatened species,Birds,Norway,Number,46.0
376,Number of endangered indigenous species,Birds,Norway,Number,15.0
377,Number of critically endangered indigenous species,Birds,Norway,Number,6.0
378,Number of vulnerable indigenous species,Birds,Norway,Number,25.0
379,Total number of known species,Birds,Poland,Number,451.0
380,Total number of indigenous known species,Birds,Poland,Number,445.0
381,Number of endangered species,Birds,Poland,Number,8.0
382,Number of critically endangered species,Birds,Poland,Number,16.0
383,Number of vulnerable species,Birds,Poland,Number,10.0
384,Total number of threatened species,Birds,Poland,Number,34.0
385,Number of endangered indigenous species,Birds,Poland,Number,8.0
386,Number of critically endangered indigenous species,Birds,Poland,Number,16.0
387,Number of vulnerable indigenous species,Birds,Poland,Number,10.0
388,Total number of known species,Birds,Portugal,Number,393.0
389,Total number of indigenous known species,Birds,Portugal,Number,362.0
390,Number of endangered species,Birds,Portugal,Number,30.0
391,Number of critically endangered species,Birds,Portugal,Number,20.0
392,Number of vulnerable species,Birds,Portugal,Number,61.0
393,Total number of threatened species,Birds,Portugal,Number,111.0
394,Number of endangered indigenous species,Birds,Portugal,Number,30.0
395,Number of critically endangered indigenous species,Birds,Portugal,Number,20.0
396,Number of vulnerable indigenous species,Birds,Portugal,Number,61.0
397,Total number of known species,Birds,Slovak Republic,Number,211.0
398,Number of endangered species,Birds,Slovak Republic,Number,24.0
399,Number of critically endangered species,Birds,Slovak Republic,Number,10.0
400,Number of vulnerable species,Birds,Slovak Republic,Number,17.0
401,Total number of threatened species,Birds,Slovak Republic,Number,51.0
402,Number of endangered indigenous species,Birds,Slovak Republic,Number,24.0
403,Number of critically endangered indigenous species,Birds,Slovak Republic,Number,10.0
404,Number of vulnerable indigenous species,Birds,Slovak Republic,Number,17.0
405,Total number of known species,Birds,Spain,Number,579.0
406,Number of endangered species,Birds,Spain,Number,21.0
407,Number of critically endangered species,Birds,Spain,Number,10.0
408,Number of vulnerable species,Birds,Spain,Number,37.0
409,Total number of threatened species,Birds,Spain,Number,68.0
410,Number of endangered indigenous species,Birds,Spain,Number,21.0
411,Number of critically endangered indigenous species,Birds,Spain,Number,10.0
412,Number of vulnerable indigenous species,Birds,Spain,Number,37.0
413,Total number of known species,Birds,Sweden,Number,257.0
414,Total number of indigenous known species,Birds,Sweden,Number,257.0
415,Number of endangered species,Birds,Sweden,Number,11.0
416,Number of critically endangered species,Birds,Sweden,Number,6.0
417,Number of vulnerable species,Birds,Sweden,Number,35.0
418,Total number of threatened species,Birds,Sweden,Number,52.0
419,Number of endangered indigenous species,Birds,Sweden,Number,11.0
420,Number of critically endangered indigenous species,Birds,Sweden,Number,6.0
421,Number of vulnerable indigenous species,Birds,Sweden,Number,35.0
422,Total number of known species,Birds,Switzerland,Number,205.0
423,Total number of indigenous known species,Birds,Switzerland,Number,199.0
424,Number of endangered species,Birds,Switzerland,Number,21.0
425,Number of critically endangered species,Birds,Switzerland,Number,9.0
426,Number of vulnerable species,Birds,Switzerland,Number,41.0
427,Total number of threatened species,Birds,Switzerland,Number,71.0
428,Number of endangered indigenous species,Birds,Switzerland,Number,21.0
429,Number of critically endangered indigenous species,Birds,Switzerland,Number,9.0
430,Number of vulnerable indigenous species,Birds,Switzerland,Number,41.0
431,Total number of known species,Birds,Turkey,Number,460.0
432,Total number of threatened species,Birds,Turkey,Number,17.0
433,Total number of known species,Birds,United Kingdom,Number,590.0
434,Number of endangered species,Birds,United Kingdom,Number,43.0
435,Number of critically endangered species,Birds,United Kingdom,Number,27.0
436,Number of vulnerable species,Birds,United Kingdom,Number,52.0
437,Total number of threatened species,Birds,United Kingdom,Number,129.0
438,Number of endangered indigenous species,Birds,United Kingdom,Number,43.0
439,Number of critically endangered indigenous species,Birds,United Kingdom,Number,27.0
440,Number of vulnerable indigenous species,Birds,United Kingdom,Number,52.0
441,Total number of known species,Birds,United States,Number,831.0
442,Total number of indigenous known species,Birds,United States,Number,766.0
443,Number of endangered species,Birds,United States,Number,25.0
444,Number of critically endangered species,Birds,United States,Number,36.0
445,Number of vulnerable species,Birds,United States,Number,40.0
446,Total number of threatened species,Birds,United States,Number,101.0
447,Number of endangered indigenous species,Birds,United States,Number,23.0
448,Number of critically endangered indigenous species,Birds,United States,Number,35.0
449,Number of vulnerable indigenous species,Birds,United States,Number,39.0
450,Total number of known species,Birds,Chile,Number,510.0
451,Total number of indigenous known species,Birds,Chile,Number,498.0
452,Number of endangered species,Birds,Chile,Number,25.0
453,Number of vulnerable species,Birds,Chile,Number,19.0
454,Total number of threatened species,Birds,Chile,Number,46.0
455,Number of endangered indigenous species,Birds,Chile,Number,25.0
456,Number of vulnerable indigenous species,Birds,Chile,Number,19.0
457,Total number of known species,Birds,Estonia,Number,234.0
458,Total number of indigenous known species,Birds,Estonia,Number,217.0
459,Number of endangered species,Birds,Estonia,Number,31.0
460,Number of critically endangered species,Birds,Estonia,Number,23.0
461,Number of vulnerable species,Birds,Estonia,Number,41.0
462,Total number of threatened species,Birds,Estonia,Number,95.0
463,Number of endangered indigenous species,Birds,Estonia,Number,31.0
464,Number of critically endangered indigenous species,Birds,Estonia,Number,23.0
465,Number of vulnerable indigenous species,Birds,Estonia,Number,41.0
466,Total number of threatened species,Birds,Russia,Number,57.0
467,Total number of known species,Birds,Slovenia,Number,380.0
468,Total number of indigenous known species,Birds,Slovenia,Number,365.0
469,Number of endangered species,Birds,Slovenia,Number,43.0
470,Number of critically endangered species,Birds,Slovenia,Number,17.0
471,Number of vulnerable species,Birds,Slovenia,Number,45.0
472,Total number of threatened species,Birds,Slovenia,Number,105.0
473,Number of endangered indigenous species,Birds,Slovenia,Number,43.0
474,Number of critically endangered indigenous species,Birds,Slovenia,Number,17.0
475,Number of vulnerable indigenous species,Birds,Slovenia,Number,45.0
476,Total number of known species,Reptiles,Australia,Number,1048.0
477,Total number of indigenous known species,Reptiles,Australia,Number,1044.0
478,Number of endangered species,Reptiles,Australia,Number,20.0
479,Number of critically endangered species,Reptiles,Australia,Number,10.0
480,Number of vulnerable species,Reptiles,Australia,Number,31.0
481,Total number of threatened species,Reptiles,Australia,Number,61.0
482,Number of endangered indigenous species,Reptiles,Australia,Number,20.0
483,Number of critically endangered indigenous species,Reptiles,Australia,Number,10.0
484,Number of vulnerable indigenous species,Reptiles,Australia,Number,31.0
485,Total number of known species,Reptiles,Austria,Number,14.0
486,Total number of indigenous known species,Reptiles,Austria,Number,14.0
487,Number of endangered species,Reptiles,Austria,Number,3.0
488,Number of critically endangered species,Reptiles,Austria,Number,3.0
489,Number of vulnerable species,Reptiles,Austria,Number,3.0
